_docId,sigla,tipo,targa,radio,statoMezzo,operativo,noteOperativo,stazionamentoPredefinito,stazione_indirizzo,stazione_luogo_fisico,dettaglio_stazionamento,posizioneReale_lat,posizioneReale_lng,creatoIl,stazionamento,manifestationId,idUnivoco,stazionamentoId,equipaggio,coordinate_stazionamento,posizioneReale
CRI_LC_3175,CRI_LC_3175,MSB,,,Disponibile,true,,false,"Via ai Poggi, 107, 23900 Lecco LC",,,,,"31/05/2026, 17:06:54","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via ai Poggi, 107, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240014630_ah9zg,15bdf8b3-dab2-4c64-b827-1e7ced65f0b5,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_3177,CRI_LC_3177,MSB,,,Disponibile,true,,false,"Piazza Mario Cermenati, 23900 Lecco LC",,,45.864852,9.393455,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza Mario Cermenati, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240014766_m7c27,282c9137-4c8b-4577-ac59-3f7df72b5478,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,"{""aggiornatoIl"":{""_seconds"":1780665097,""_nanoseconds"":737000000},""coordinate"":{""lng"":9.393455,""lat"":45.864852},""fonte"":""telegram""}"
CRI_LC_3182,CRI_LC_3182,AUTOMEDICA,,,Disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:54","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240014016_3euc9,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_3184,CRI_LC_3184,MSB,,,Non disponibile,true,,true,"Piazza Mario Cermenati, 23900 Lecco LC",,,,,"06/06/2026, 19:39:44","{""luogo_fisico"":"""",""note"":"""",""coordinate"":{""lng"":9.388600825486087,""lat"":45.85591408724498},""indirizzo"":""Piazza Mario Cermenati, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,b2ef0e46-326e-4648-bcd5-638d9b4237d3,282c9137-4c8b-4577-ac59-3f7df72b5478,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_ARRIVO1,CRI_LC_ARRIVO1,SAP,,,Disponibile,true,,false,"Piazza Giuseppe Garibaldi, 23900 Lecco LC",,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza Giuseppe Garibaldi, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240014943_351k6,2666ee86-60c8-4992-b82c-3c0e45b7483d,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_ARRIVO2,CRI_LC_ARRIVO2,SAP,,,Disponibile,true,,false,"Piazza Giuseppe Garibaldi, 23900 Lecco LC",,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza Giuseppe Garibaldi, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240015107_wu1fp,2666ee86-60c8-4992-b82c-3c0e45b7483d,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_CICLO,CRI_LC_CICLO,CICLOSOCCORSO,,,Non disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240015757_dot8r,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_COORD,CRI_LC_COORD,COORDINAMENTO,,,Non disponibile,true,,true,"Piazza Giuseppe Garibaldi, 23900 Lecco LC",,,,,"31/05/2026, 17:06:53","{""luogo_fisico"":"""",""note"":"""",""coordinate"":{""lng"":9.389820522461209,""lat"":45.85311452486123},""indirizzo"":""Piazza Giuseppe Garibaldi, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240013668_9nuki,2666ee86-60c8-4992-b82c-3c0e45b7483d,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""nome"":""JACOPO"",""cognome"":""TAIETTI"",""telefono"":""03411812600""}}",,
CRI_LC_ERNA,CRI_LC_ERNA,SAP,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240015303_bua78,1876e1b5-397f-4927-b994-e44bc5dfa5f8,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_LOG,CRI_LC_LOG,LOGISTICA,,,Disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:56","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240015973_5wr6j,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
